INFO:root:Processed IP 10.124.1.247: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.119.66: Fraud Score: 47, Risk: medium
INFO:root:Processed IP 146.70.119.2: Fraud Score: 47, Risk: medium
INFO:root:Processed IP 10.124.1.248: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.237: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.119.34: Fraud Score: 47, Risk: medium
INFO:root:Processed IP 146.70.119.162: Fraud Score: 47, Risk: medium
INFO:root:Processed IP 10.124.2.20: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.133.98: Fraud Score: 66, Risk: high
INFO:root:Processed IP 10.124.2.13: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.2.14: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.132.130: Fraud Score: 66, Risk: high
INFO:root:Processed IP 146.70.132.162: Fraud Score: 66, Risk: high
INFO:root:Processed IP 10.124.2.15: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.2.16: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.132.194: Fraud Score: 66, Risk: high
INFO:root:Processed IP 146.70.132.226: Fraud Score: 66, Risk: high
INFO:root:Processed IP 10.124.2.17: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.133.2: Fraud Score: 66, Risk: high
INFO:root:Processed IP 10.124.2.18: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.159: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.133.34: Fraud Score: 66, Risk: high
INFO:root:Processed IP 149.102.246.2: Fraud Score: 35, Risk: medium
INFO:root:Processed IP 10.124.1.237: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.166: Fraud Score: 0, Risk: low
INFO:root:Processed IP 149.102.246.15: Fraud Score: 35, Risk: medium
INFO:root:Processed IP 103.125.233.18: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.202: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.192: Fraud Score: 0, Risk: low
INFO:root:Processed IP 103.125.233.3: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.224.66: Fraud Score: 25, Risk: medium
INFO:root:Processed IP 10.124.0.203: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.224.2: Fraud Score: 25, Risk: medium
INFO:root:Processed IP 10.124.0.74: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.35: Fraud Score: 0, Risk: low
INFO:root:Processed IP 154.47.29.2: Fraud Score: 35, Risk: medium
INFO:root:Processed IP 154.47.29.15: Fraud Score: 35, Risk: medium
INFO:root:Processed IP 10.124.0.227: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.228: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.196.194: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.254: Fraud Score: 0, Risk: low
INFO:root:Processed IP 129.227.46.130: Fraud Score: 13, Risk: low
INFO:root:Processed IP 146.70.196.130: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.1: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.58: Fraud Score: 0, Risk: low
INFO:root:Processed IP 129.227.46.162: Fraud Score: 13, Risk: low
INFO:root:Processed IP 146.70.189.2: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.2.5: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.59: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.189.66: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.2.25: Fraud Score: 0, Risk: low
INFO:root:Processed IP 169.150.227.210: Fraud Score: 37, Risk: medium
INFO:root:Processed IP 169.150.227.197: Fraud Score: 37, Risk: medium
INFO:root:Processed IP 10.124.2.26: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.206: Fraud Score: 0, Risk: low
